assessment_id,site_id,conducted_by_person_id,assessment_date,assessment_period,overall_risk_score,findings_summary,num_hazards_identified,num_actions_created,status
833,84,265,2023-09-01,H2_2023,25,Risk assessment findings: Kelston Girls' College presents low risk environment. Critical items include inadequate lighting in car park. Moderate items include damaged fencing along south boundary. 0 actions assigned with 0 marked as critical priority.,1,0,COMPLETED
834,84,267,2024-03-17,H1_2024,85,Comprehensive risk assessment completed for Kelston Girls' College. 2 new hazards identified and 4 existing hazards reviewed. Key findings include: standing water near entrance pathway; worn anti-slip tape on steps. 1 corrective actions have been raised.,2,1,COMPLETED
835,84,267,2024-09-21,H2_2024,38,Routine H1/H2 assessment for Kelston Girls' College conducted on the assessment date. Building condition assessments reviewed for all 4 structures. 2 hazards requiring attention identified. Notable improvement in playground area maintenance since last assessment.,2,0,COMPLETED
836,84,267,2025-03-27,H1_2025,27,Assessment of Kelston Girls' College identified low overall risk level. Primary concerns are asbestos-containing materials particularly affecting outdoor areas. Emergency procedures were reviewed and found to be requiring update. 0 actions created.,0,0,COMPLETED
837,85,270,2020-03-02,H1_2020,83,Comprehensive risk assessment completed for One Tree Hill College. 0 new hazards identified and 5 existing hazards reviewed. Key findings include: loose railing on Block A stairwell; loose railing on Block A stairwell. 1 corrective actions have been raised.,0,1,COMPLETED
838,85,268,2020-09-10,H2_2020,85,Comprehensive risk assessment completed for One Tree Hill College. 1 new hazards identified and 4 existing hazards reviewed. Key findings include: missing fire extinguisher sign; tree branch overhanging walkway. 0 corrective actions have been raised.,1,0,COMPLETED
839,85,269,2021-03-13,H1_2021,31,Assessment of One Tree Hill College identified medium overall risk level. Primary concerns are aging infrastructure particularly affecting outdoor areas. Emergency procedures were reviewed and found to be satisfactory. 0 actions created.,0,0,COMPLETED
840,85,268,2021-09-11,H2_2021,15,Risk assessment findings: One Tree Hill College presents low risk environment. Critical items include cracked window pane in classroom. Moderate items include cracked window pane in classroom. 1 actions assigned with 1 marked as critical priority.,2,1,COMPLETED
841,85,270,2022-03-22,H1_2022,40,Assessment of One Tree Hill College identified medium overall risk level. Primary concerns are roof condition particularly affecting the sports facilities. Emergency procedures were reviewed and found to be requiring update. 2 actions created.,1,2,COMPLETED
842,85,270,2022-09-05,H2_2022,71,Site inspection revealed generally satisfactory conditions with 2 hazards identified. Main concerns relate to slip hazards during winter. Overall risk posture is high. Recommend follow-up on traffic management within 14 days.,2,0,COMPLETED
843,85,268,2023-03-03,H1_2023,84,Comprehensive risk assessment completed for One Tree Hill College. 3 new hazards identified and 3 existing hazards reviewed. Key findings include: cluttered storage room blocking access; loose railing on Block A stairwell. 0 corrective actions have been raised.,3,0,COMPLETED
844,85,268,2023-09-05,H2_2023,64,Assessment of One Tree Hill College identified high overall risk level. Primary concerns are asbestos-containing materials particularly affecting the sports facilities. Emergency procedures were reviewed and found to be requiring update. 1 actions created.,1,1,COMPLETED
845,85,270,2024-03-09,H1_2024,47,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to electrical systems. Overall risk posture is medium. Recommend follow-up on aging infrastructure within 14 days.,1,2,COMPLETED
846,85,270,2024-09-05,H2_2024,45,Comprehensive risk assessment completed for One Tree Hill College. 1 new hazards identified and 6 existing hazards reviewed. Key findings include: mould visible on ceiling tiles; blocked emergency exit in hall. 2 corrective actions have been raised.,1,2,COMPLETED
847,85,268,2025-03-05,H1_2025,21,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to playground equipment wear. Overall risk posture is low. Recommend follow-up on electrical systems within the next term.,0,1,COMPLETED
848,86,271,2020-03-10,H1_2020,33,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to roof condition. Overall risk posture is medium. Recommend follow-up on roof condition within the next term.,3,1,COMPLETED
849,86,273,2020-09-18,H2_2020,78,Comprehensive risk assessment completed for Onehunga High School. 3 new hazards identified and 4 existing hazards reviewed. Key findings include: damaged fencing along south boundary; standing water near entrance pathway. 4 corrective actions have been raised.,3,4,COMPLETED
850,86,273,2021-03-19,H1_2021,47,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to playground equipment wear. Overall risk posture is medium. Recommend follow-up on tree management within the next term.,1,1,COMPLETED
851,86,273,2021-09-12,H2_2021,53,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to contractor oversight. Overall risk posture is medium. Recommend follow-up on traffic management within the next term.,0,1,COMPLETED
852,86,272,2022-03-12,H1_2022,66,Risk assessment findings: Onehunga High School presents high risk environment. Critical items include peeling paint near food prep area. Moderate items include damaged fencing along south boundary. 4 actions assigned with 2 marked as critical priority.,3,4,COMPLETED
853,86,271,2022-09-25,H2_2022,35,Site inspection revealed generally satisfactory conditions with 2 hazards identified. Main concerns relate to aging infrastructure. Overall risk posture is medium. Recommend follow-up on contractor oversight within 30 days.,2,3,COMPLETED
854,86,272,2023-03-01,H1_2023,64,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to roof condition. Overall risk posture is high. Recommend follow-up on playground equipment wear within 14 days.,0,1,COMPLETED
855,86,271,2023-09-23,H2_2023,77,Routine H1/H2 assessment for Onehunga High School conducted on the assessment date. Building condition assessments reviewed for all 5 structures. 4 hazards requiring attention identified. Notable improvement in chemical storage since last assessment.,4,0,COMPLETED
856,86,271,2024-03-08,H1_2024,78,Assessment of Onehunga High School identified high overall risk level. Primary concerns are tree management particularly affecting administration building. Emergency procedures were reviewed and found to be adequate. 1 actions created.,0,1,COMPLETED
857,86,273,2024-09-26,H2_2024,31,Site inspection revealed generally satisfactory conditions with 4 hazards identified. Main concerns relate to roof condition. Overall risk posture is medium. Recommend follow-up on traffic management within the next term.,4,4,COMPLETED
858,86,271,2025-03-26,H1_2025,27,Routine H1/H2 assessment for Onehunga High School conducted on the assessment date. Building condition assessments reviewed for all 7 structures. 1 hazards requiring attention identified. Notable improvement in emergency signage since last assessment.,1,0,COMPLETED
859,87,276,2020-03-23,H1_2020,18,Routine H1/H2 assessment for Howick College conducted on the assessment date. Building condition assessments reviewed for all 8 structures. 3 hazards requiring attention identified. Notable improvement in car park markings since last assessment.,3,3,COMPLETED
860,87,276,2020-09-25,H2_2020,68,Comprehensive risk assessment completed for Howick College. 1 new hazards identified and 1 existing hazards reviewed. Key findings include: missing fire extinguisher sign; cluttered storage room blocking access. 2 corrective actions have been raised.,1,2,COMPLETED
861,87,276,2021-03-17,H1_2021,10,Risk assessment findings: Howick College presents low risk environment. Critical items include trip hazard from raised concrete. Moderate items include uneven surface on playground. 1 actions assigned with 2 marked as critical priority.,0,1,COMPLETED
862,87,275,2021-09-27,H2_2021,80,Comprehensive risk assessment completed for Howick College. 4 new hazards identified and 2 existing hazards reviewed. Key findings include: worn anti-slip tape on steps; blocked emergency exit in hall. 1 corrective actions have been raised.,4,1,COMPLETED
863,87,277,2022-03-27,H1_2022,24,Assessment of Howick College identified low overall risk level. Primary concerns are asbestos-containing materials particularly affecting administration building. Emergency procedures were reviewed and found to be satisfactory. 1 actions created.,3,1,COMPLETED
864,87,274,2022-09-08,H2_2022,80,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to traffic management. Overall risk posture is critical. Recommend follow-up on slip hazards during winter within 30 days.,3,4,COMPLETED
865,87,275,2023-03-13,H1_2023,56,Assessment of Howick College identified medium overall risk level. Primary concerns are chemical storage particularly affecting the sports facilities. Emergency procedures were reviewed and found to be adequate. 0 actions created.,0,0,COMPLETED
866,87,275,2023-09-13,H2_2023,24,Comprehensive risk assessment completed for Howick College. 3 new hazards identified and 3 existing hazards reviewed. Key findings include: mould visible on ceiling tiles; trip hazard from raised concrete. 4 corrective actions have been raised.,3,4,COMPLETED
867,87,275,2024-03-05,H1_2024,49,Assessment of Howick College identified medium overall risk level. Primary concerns are tree management particularly affecting the sports facilities. Emergency procedures were reviewed and found to be satisfactory. 2 actions created.,1,2,COMPLETED
868,87,274,2024-09-23,H2_2024,68,Risk assessment findings: Howick College presents high risk environment. Critical items include tree branch overhanging walkway. Moderate items include loose railing on Block A stairwell. 3 actions assigned with 2 marked as critical priority.,2,3,COMPLETED
869,87,275,2025-03-15,H1_2025,60,Risk assessment findings: Howick College presents high risk environment. Critical items include inadequate lighting in car park. Moderate items include mould visible on ceiling tiles. 2 actions assigned with 0 marked as critical priority.,3,2,COMPLETED
870,88,278,2020-03-02,H1_2020,82,Site inspection revealed generally satisfactory conditions with 2 hazards identified. Main concerns relate to roof condition. Overall risk posture is critical. Recommend follow-up on roof condition within the next term.,2,1,COMPLETED
871,88,279,2020-09-16,H2_2020,50,Comprehensive risk assessment completed for Otahuhu College. 0 new hazards identified and 4 existing hazards reviewed. Key findings include: bird nesting in roof cavity; damaged fencing along south boundary. 1 corrective actions have been raised.,0,1,COMPLETED
872,88,280,2021-03-27,H1_2021,55,Risk assessment findings: Otahuhu College presents medium risk environment. Critical items include bird nesting in roof cavity. Moderate items include missing fire extinguisher sign. 4 actions assigned with 2 marked as critical priority.,4,4,COMPLETED
873,88,279,2021-09-12,H2_2021,67,Assessment of Otahuhu College identified high overall risk level. Primary concerns are electrical systems particularly affecting the main block. Emergency procedures were reviewed and found to be adequate. 0 actions created.,1,0,COMPLETED
874,88,278,2022-03-04,H1_2022,26,Routine H1/H2 assessment for Otahuhu College conducted on the assessment date. Building condition assessments reviewed for all 6 structures. 3 hazards requiring attention identified. Notable improvement in playground area maintenance since last assessment.,3,0,COMPLETED
875,88,280,2022-09-03,H2_2022,55,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to tree management. Overall risk posture is medium. Recommend follow-up on asbestos-containing materials within the next term.,3,2,COMPLETED
876,88,278,2023-03-07,H1_2023,48,Risk assessment findings: Otahuhu College presents medium risk environment. Critical items include inadequate lighting in car park. Moderate items include bird nesting in roof cavity. 3 actions assigned with 1 marked as critical priority.,2,3,COMPLETED
877,88,279,2023-09-10,H2_2023,37,Assessment of Otahuhu College identified medium overall risk level. Primary concerns are electrical systems particularly affecting the sports facilities. Emergency procedures were reviewed and found to be satisfactory. 1 actions created.,3,1,COMPLETED
878,88,280,2024-03-09,H1_2024,16,Routine H1/H2 assessment for Otahuhu College conducted on the assessment date. Building condition assessments reviewed for all 7 structures. 3 hazards requiring attention identified. Notable improvement in stairwell lighting since last assessment.,3,1,COMPLETED
879,88,279,2024-09-26,H2_2024,49,Risk assessment findings: Otahuhu College presents medium risk environment. Critical items include peeling paint near food prep area. Moderate items include standing water near entrance pathway. 0 actions assigned with 1 marked as critical priority.,3,0,COMPLETED
880,88,278,2025-03-03,H1_2025,81,Site inspection revealed generally satisfactory conditions with 4 hazards identified. Main concerns relate to electrical systems. Overall risk posture is critical. Recommend follow-up on traffic management within 60 days.,4,0,REVIEWED
881,89,282,2020-03-22,H1_2020,56,Assessment of King's College identified medium overall risk level. Primary concerns are roof condition particularly affecting outdoor areas. Emergency procedures were reviewed and found to be satisfactory. 0 actions created.,3,0,COMPLETED
882,89,282,2020-09-23,H2_2020,35,Routine H1/H2 assessment for King's College conducted on the assessment date. Building condition assessments reviewed for all 8 structures. 1 hazards requiring attention identified. Notable improvement in first aid supplies since last assessment.,1,1,COMPLETED
883,89,284,2021-03-05,H1_2021,87,Assessment of King's College identified critical overall risk level. Primary concerns are tree management particularly affecting the sports facilities. Emergency procedures were reviewed and found to be adequate. 3 actions created.,2,3,COMPLETED
884,89,283,2021-09-13,H2_2021,27,Risk assessment findings: King's College presents low risk environment. Critical items include trip hazard from raised concrete. Moderate items include uneven surface on playground. 2 actions assigned with 1 marked as critical priority.,1,2,COMPLETED
885,89,281,2022-03-04,H1_2022,71,Risk assessment findings: King's College presents high risk environment. Critical items include bird nesting in roof cavity. Moderate items include worn anti-slip tape on steps. 5 actions assigned with 0 marked as critical priority.,4,5,COMPLETED
886,89,281,2022-09-13,H2_2022,56,Comprehensive risk assessment completed for King's College. 1 new hazards identified and 7 existing hazards reviewed. Key findings include: mould visible on ceiling tiles; tree branch overhanging walkway. 1 corrective actions have been raised.,1,1,COMPLETED
887,89,283,2023-03-21,H1_2023,89,Comprehensive risk assessment completed for King's College. 3 new hazards identified and 1 existing hazards reviewed. Key findings include: damaged fencing along south boundary; uneven surface on playground. 1 corrective actions have been raised.,3,1,COMPLETED
888,89,282,2023-09-25,H2_2023,75,Risk assessment findings: King's College presents high risk environment. Critical items include standing water near entrance pathway. Moderate items include inadequate lighting in car park. 1 actions assigned with 2 marked as critical priority.,0,1,COMPLETED
889,89,283,2024-03-25,H1_2024,29,Assessment of King's College identified low overall risk level. Primary concerns are contractor oversight particularly affecting the main block. Emergency procedures were reviewed and found to be adequate. 1 actions created.,1,1,COMPLETED
890,89,283,2024-09-27,H2_2024,43,Comprehensive risk assessment completed for King's College. 4 new hazards identified and 4 existing hazards reviewed. Key findings include: damaged fencing along south boundary; loose railing on Block A stairwell. 4 corrective actions have been raised.,4,4,COMPLETED
891,89,281,2025-03-08,H1_2025,26,Assessment of King's College identified low overall risk level. Primary concerns are playground equipment wear particularly affecting outdoor areas. Emergency procedures were reviewed and found to be requiring update. 1 actions created.,0,1,REVIEWED
892,90,285,2020-03-06,H1_2020,68,Routine H1/H2 assessment for McAuley High School conducted on the assessment date. Building condition assessments reviewed for all 7 structures. 1 hazards requiring attention identified. Notable improvement in stairwell lighting since last assessment.,1,2,COMPLETED
893,90,286,2020-09-26,H2_2020,46,Assessment of McAuley High School identified medium overall risk level. Primary concerns are aging infrastructure particularly affecting administration building. Emergency procedures were reviewed and found to be satisfactory. 0 actions created.,1,0,COMPLETED
894,90,286,2021-03-18,H1_2021,80,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to slip hazards during winter. Overall risk posture is critical. Recommend follow-up on tree management within 30 days.,3,4,COMPLETED
895,90,286,2021-09-24,H2_2021,58,Comprehensive risk assessment completed for McAuley High School. 4 new hazards identified and 4 existing hazards reviewed. Key findings include: inadequate lighting in car park; cracked window pane in classroom. 4 corrective actions have been raised.,4,4,COMPLETED
896,90,287,2022-03-20,H1_2022,78,Assessment of McAuley High School identified high overall risk level. Primary concerns are slip hazards during winter particularly affecting the main block. Emergency procedures were reviewed and found to be satisfactory. 0 actions created.,4,0,COMPLETED
897,90,285,2022-09-08,H2_2022,24,Comprehensive risk assessment completed for McAuley High School. 1 new hazards identified and 4 existing hazards reviewed. Key findings include: mould visible on ceiling tiles; worn anti-slip tape on steps. 0 corrective actions have been raised.,1,0,COMPLETED
898,90,287,2023-03-20,H1_2023,70,Assessment of McAuley High School identified high overall risk level. Primary concerns are playground equipment wear particularly affecting the sports facilities. Emergency procedures were reviewed and found to be satisfactory. 0 actions created.,0,0,COMPLETED
899,90,287,2023-09-05,H2_2023,82,Comprehensive risk assessment completed for McAuley High School. 4 new hazards identified and 3 existing hazards reviewed. Key findings include: standing water near entrance pathway; cluttered storage room blocking access. 1 corrective actions have been raised.,4,1,COMPLETED
900,90,287,2024-03-10,H1_2024,77,Comprehensive risk assessment completed for McAuley High School. 1 new hazards identified and 7 existing hazards reviewed. Key findings include: trip hazard from raised concrete; cluttered storage room blocking access. 2 corrective actions have been raised.,1,2,COMPLETED
901,90,287,2024-09-20,H2_2024,56,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to aging infrastructure. Overall risk posture is medium. Recommend follow-up on playground equipment wear within 30 days.,1,0,COMPLETED
902,90,287,2025-03-05,H1_2025,61,Comprehensive risk assessment completed for McAuley High School. 0 new hazards identified and 4 existing hazards reviewed. Key findings include: inadequate lighting in car park; tree branch overhanging walkway. 0 corrective actions have been raised.,0,0,REVIEWED
903,91,288,2020-03-13,H1_2020,32,Routine H1/H2 assessment for Mangere College conducted on the assessment date. Building condition assessments reviewed for all 6 structures. 4 hazards requiring attention identified. Notable improvement in stairwell lighting since last assessment.,4,2,COMPLETED
904,91,291,2020-09-15,H2_2020,15,Assessment of Mangere College identified low overall risk level. Primary concerns are traffic management particularly affecting outdoor areas. Emergency procedures were reviewed and found to be adequate. 2 actions created.,2,2,COMPLETED
905,91,291,2021-03-20,H1_2021,31,Assessment of Mangere College identified medium overall risk level. Primary concerns are chemical storage particularly affecting outdoor areas. Emergency procedures were reviewed and found to be requiring update. 5 actions created.,4,5,COMPLETED
906,91,291,2021-09-06,H2_2021,13,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to chemical storage. Overall risk posture is low. Recommend follow-up on playground equipment wear within 14 days.,3,3,COMPLETED
907,91,291,2022-03-24,H1_2022,68,Comprehensive risk assessment completed for Mangere College. 2 new hazards identified and 4 existing hazards reviewed. Key findings include: peeling paint near food prep area; blocked emergency exit in hall. 1 corrective actions have been raised.,2,1,COMPLETED
908,91,289,2022-09-04,H2_2022,76,Assessment of Mangere College identified high overall risk level. Primary concerns are contractor oversight particularly affecting outdoor areas. Emergency procedures were reviewed and found to be satisfactory. 3 actions created.,3,3,COMPLETED
909,91,289,2023-03-08,H1_2023,71,Assessment of Mangere College identified high overall risk level. Primary concerns are traffic management particularly affecting the main block. Emergency procedures were reviewed and found to be satisfactory. 0 actions created.,1,0,COMPLETED
910,91,289,2023-09-07,H2_2023,36,Assessment of Mangere College identified medium overall risk level. Primary concerns are slip hazards during winter particularly affecting the sports facilities. Emergency procedures were reviewed and found to be satisfactory. 3 actions created.,2,3,COMPLETED
911,91,291,2024-03-17,H1_2024,71,Comprehensive risk assessment completed for Mangere College. 0 new hazards identified and 4 existing hazards reviewed. Key findings include: cracked window pane in classroom; cracked window pane in classroom. 0 corrective actions have been raised.,0,0,COMPLETED
912,91,289,2024-09-18,H2_2024,52,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to electrical systems. Overall risk posture is medium. Recommend follow-up on asbestos-containing materials within 14 days.,1,1,COMPLETED
913,91,291,2025-03-11,H1_2025,33,Assessment of Mangere College identified medium overall risk level. Primary concerns are contractor oversight particularly affecting the main block. Emergency procedures were reviewed and found to be requiring update. 1 actions created.,0,1,COMPLETED
914,93,292,2020-03-06,H1_2020,47,Assessment of Auckland Seventh-Day Adventist H S identified medium overall risk level. Primary concerns are roof condition particularly affecting outdoor areas. Emergency procedures were reviewed and found to be adequate. 0 actions created.,1,0,COMPLETED
915,93,292,2020-09-14,H2_2020,30,Assessment of Auckland Seventh-Day Adventist H S identified medium overall risk level. Primary concerns are electrical systems particularly affecting the main block. Emergency procedures were reviewed and found to be satisfactory. 1 actions created.,1,1,COMPLETED
916,93,292,2021-03-05,H1_2021,75,Risk assessment findings: Auckland Seventh-Day Adventist H S presents high risk environment. Critical items include mould visible on ceiling tiles. Moderate items include uneven surface on playground. 1 actions assigned with 2 marked as critical priority.,0,1,COMPLETED
917,93,293,2021-09-17,H2_2021,38,Site inspection revealed generally satisfactory conditions with 4 hazards identified. Main concerns relate to chemical storage. Overall risk posture is medium. Recommend follow-up on chemical storage within 60 days.,4,3,COMPLETED
918,93,294,2022-03-06,H1_2022,27,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to tree management. Overall risk posture is low. Recommend follow-up on contractor oversight within 14 days.,0,1,COMPLETED
919,93,294,2022-09-11,H2_2022,85,Comprehensive risk assessment completed for Auckland Seventh-Day Adventist H S. 4 new hazards identified and 1 existing hazards reviewed. Key findings include: damaged fencing along south boundary; cracked window pane in classroom. 1 corrective actions have been raised.,4,1,COMPLETED
920,93,292,2023-03-25,H1_2023,25,Comprehensive risk assessment completed for Auckland Seventh-Day Adventist H S. 0 new hazards identified and 3 existing hazards reviewed. Key findings include: blocked emergency exit in hall; cluttered storage room blocking access. 1 corrective actions have been raised.,0,1,COMPLETED
921,93,292,2023-09-12,H2_2023,52,Routine H1/H2 assessment for Auckland Seventh-Day Adventist H S conducted on the assessment date. Building condition assessments reviewed for all 6 structures. 2 hazards requiring attention identified. Notable improvement in playground area maintenance since last assessment.,2,0,COMPLETED
922,93,294,2024-03-27,H1_2024,47,Site inspection revealed generally satisfactory conditions with 4 hazards identified. Main concerns relate to asbestos-containing materials. Overall risk posture is medium. Recommend follow-up on chemical storage within 14 days.,4,0,COMPLETED
923,93,294,2024-09-18,H2_2024,87,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to chemical storage. Overall risk posture is critical. Recommend follow-up on slip hazards during winter within the next term.,0,1,COMPLETED
924,93,294,2025-03-16,H1_2025,45,Assessment of Auckland Seventh-Day Adventist H S identified medium overall risk level. Primary concerns are contractor oversight particularly affecting administration building. Emergency procedures were reviewed and found to be requiring update. 0 actions created.,3,0,REVIEWED
925,94,298,2020-03-10,H1_2020,25,Comprehensive risk assessment completed for De La Salle College. 4 new hazards identified and 1 existing hazards reviewed. Key findings include: worn anti-slip tape on steps; uneven surface on playground. 2 corrective actions have been raised.,4,2,COMPLETED
926,94,298,2020-09-16,H2_2020,18,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to aging infrastructure. Overall risk posture is low. Recommend follow-up on playground equipment wear within 60 days.,0,0,COMPLETED
927,94,297,2021-03-01,H1_2021,11,Assessment of De La Salle College identified low overall risk level. Primary concerns are aging infrastructure particularly affecting outdoor areas. Emergency procedures were reviewed and found to be satisfactory. 3 actions created.,2,3,COMPLETED
928,94,296,2021-09-05,H2_2021,51,Comprehensive risk assessment completed for De La Salle College. 3 new hazards identified and 6 existing hazards reviewed. Key findings include: bird nesting in roof cavity; bird nesting in roof cavity. 0 corrective actions have been raised.,3,0,COMPLETED
929,94,296,2022-03-01,H1_2022,64,Routine H1/H2 assessment for De La Salle College conducted on the assessment date. Building condition assessments reviewed for all 10 structures. 2 hazards requiring attention identified. Notable improvement in car park markings since last assessment.,2,2,COMPLETED
930,94,296,2022-09-19,H2_2022,38,Risk assessment findings: De La Salle College presents medium risk environment. Critical items include inadequate lighting in car park. Moderate items include blocked emergency exit in hall. 4 actions assigned with 2 marked as critical priority.,3,4,COMPLETED
931,94,295,2023-03-13,H1_2023,84,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to traffic management. Overall risk posture is critical. Recommend follow-up on tree management within 14 days.,1,2,COMPLETED
932,94,298,2023-09-02,H2_2023,25,Risk assessment findings: De La Salle College presents low risk environment. Critical items include inadequate lighting in car park. Moderate items include peeling paint near food prep area. 1 actions assigned with 1 marked as critical priority.,2,1,COMPLETED
933,94,297,2024-03-12,H1_2024,14,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to slip hazards during winter. Overall risk posture is low. Recommend follow-up on contractor oversight within 60 days.,1,2,COMPLETED
934,94,298,2024-09-01,H2_2024,29,Routine H1/H2 assessment for De La Salle College conducted on the assessment date. Building condition assessments reviewed for all 3 structures. 2 hazards requiring attention identified. Notable improvement in first aid supplies since last assessment.,2,2,COMPLETED
935,94,297,2025-03-07,H1_2025,36,Routine H1/H2 assessment for De La Salle College conducted on the assessment date. Building condition assessments reviewed for all 3 structures. 1 hazards requiring attention identified. Notable improvement in car park markings since last assessment.,1,0,REVIEWED
936,95,299,2020-03-11,H1_2020,37,Risk assessment findings: Papatoetoe High School presents medium risk environment. Critical items include missing fire extinguisher sign. Moderate items include inadequate lighting in car park. 2 actions assigned with 2 marked as critical priority.,3,2,COMPLETED
937,95,299,2020-09-08,H2_2020,14,Risk assessment findings: Papatoetoe High School presents low risk environment. Critical items include uneven surface on playground. Moderate items include missing fire extinguisher sign. 0 actions assigned with 2 marked as critical priority.,4,0,COMPLETED
938,95,300,2021-03-20,H1_2021,54,Risk assessment findings: Papatoetoe High School presents medium risk environment. Critical items include worn anti-slip tape on steps. Moderate items include bird nesting in roof cavity. 0 actions assigned with 2 marked as critical priority.,0,0,COMPLETED
939,95,300,2021-09-13,H2_2021,18,Routine H1/H2 assessment for Papatoetoe High School conducted on the assessment date. Building condition assessments reviewed for all 6 structures. 2 hazards requiring attention identified. Notable improvement in stairwell lighting since last assessment.,2,1,COMPLETED
940,95,300,2022-03-27,H1_2022,67,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to electrical systems. Overall risk posture is high. Recommend follow-up on electrical systems within 30 days.,0,1,COMPLETED
941,95,299,2022-09-17,H2_2022,30,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to slip hazards during winter. Overall risk posture is medium. Recommend follow-up on chemical storage within 30 days.,1,0,COMPLETED
942,95,301,2023-03-24,H1_2023,33,Risk assessment findings: Papatoetoe High School presents medium risk environment. Critical items include peeling paint near food prep area. Moderate items include standing water near entrance pathway. 0 actions assigned with 0 marked as critical priority.,0,0,COMPLETED
943,95,300,2023-09-09,H2_2023,76,Comprehensive risk assessment completed for Papatoetoe High School. 1 new hazards identified and 7 existing hazards reviewed. Key findings include: missing fire extinguisher sign; loose railing on Block A stairwell. 2 corrective actions have been raised.,1,2,COMPLETED
944,95,300,2024-03-09,H1_2024,65,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to contractor oversight. Overall risk posture is high. Recommend follow-up on asbestos-containing materials within the next term.,3,2,COMPLETED
945,95,301,2024-09-07,H2_2024,87,Risk assessment findings: Papatoetoe High School presents critical risk environment. Critical items include cluttered storage room blocking access. Moderate items include uneven surface on playground. 1 actions assigned with 2 marked as critical priority.,0,1,COMPLETED
946,95,299,2025-03-24,H1_2025,25,Comprehensive risk assessment completed for Papatoetoe High School. 3 new hazards identified and 4 existing hazards reviewed. Key findings include: blocked emergency exit in hall; peeling paint near food prep area. 4 corrective actions have been raised.,3,4,COMPLETED
947,96,302,2020-03-23,H1_2020,81,Comprehensive risk assessment completed for Aorere College. 4 new hazards identified and 2 existing hazards reviewed. Key findings include: bird nesting in roof cavity; trip hazard from raised concrete. 5 corrective actions have been raised.,4,5,COMPLETED
948,96,305,2020-09-01,H2_2020,82,Risk assessment findings: Aorere College presents critical risk environment. Critical items include bird nesting in roof cavity. Moderate items include damaged fencing along south boundary. 2 actions assigned with 1 marked as critical priority.,3,2,COMPLETED
949,96,302,2021-03-05,H1_2021,85,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to tree management. Overall risk posture is critical. Recommend follow-up on tree management within 14 days.,0,0,COMPLETED
950,96,305,2021-09-07,H2_2021,13,Site inspection revealed generally satisfactory conditions with 4 hazards identified. Main concerns relate to roof condition. Overall risk posture is low. Recommend follow-up on traffic management within 60 days.,4,4,COMPLETED
951,96,303,2022-03-15,H1_2022,19,Site inspection revealed generally satisfactory conditions with 4 hazards identified. Main concerns relate to slip hazards during winter. Overall risk posture is low. Recommend follow-up on electrical systems within 14 days.,4,2,COMPLETED
952,96,302,2022-09-12,H2_2022,57,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to electrical systems. Overall risk posture is medium. Recommend follow-up on playground equipment wear within 60 days.,1,0,COMPLETED
953,96,305,2023-03-25,H1_2023,23,Assessment of Aorere College identified low overall risk level. Primary concerns are traffic management particularly affecting the sports facilities. Emergency procedures were reviewed and found to be adequate. 4 actions created.,3,4,COMPLETED
954,96,302,2023-09-23,H2_2023,50,Routine H1/H2 assessment for Aorere College conducted on the assessment date. Building condition assessments reviewed for all 8 structures. 1 hazards requiring attention identified. Notable improvement in car park markings since last assessment.,1,2,COMPLETED
955,96,305,2024-03-15,H1_2024,77,Assessment of Aorere College identified high overall risk level. Primary concerns are aging infrastructure particularly affecting the main block. Emergency procedures were reviewed and found to be requiring update. 2 actions created.,1,2,COMPLETED
956,96,303,2024-09-23,H2_2024,77,Routine H1/H2 assessment for Aorere College conducted on the assessment date. Building condition assessments reviewed for all 6 structures. 3 hazards requiring attention identified. Notable improvement in emergency signage since last assessment.,3,3,COMPLETED
957,96,304,2025-03-27,H1_2025,73,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to roof condition. Overall risk posture is high. Recommend follow-up on chemical storage within 14 days.,0,1,COMPLETED
