inspection_id,site_id,conducted_by_person_id,contractor_id,inspection_date,inspection_type,field_notes,compliance_rating,num_hazards_identified,num_actions_created,status
2355,250,771,,2022-02-14,ROUTINE,Arrived at Upper Hutt College at 15:00. Met with the principal who reported no issues since last visit. Walked the site starting from the playground. Observed cracked window pane in classroom. Noted trip hazard from raised concrete. Block A appears showing signs of wear. Recommend engaging specialist contractor. Photos taken for record.,COMPLIANT,0,0,COMPLETED
2356,250,769,,2023-10-23,ROUTINE,Arrived at Upper Hutt College at 15:00. Met with the principal who reported no issues since last visit. Walked the site starting from the car park. Observed loose railing on Block A stairwell. Noted tree branch overhanging walkway. the hall appears in good condition. Recommend review at next assessment. Photos taken for record.,MINOR_NON_COMPLIANCE,0,0,COMPLETED
2357,250,769,,2023-04-12,ROUTINE,Complaint response visit to Upper Hutt College regarding unsafe traffic conditions at drop-off. On inspection found inadequate lighting in car park. uneven surface on playground. Spoke with the principal who was unaware until now. Actions: temporary fix applied. Follow-up required: yes - after repair completed.,CRITICAL,0,0,COMPLETED
2358,250,770,117.0,2023-02-13,CONTRACTOR_AUDIT,Post-incident inspection at Upper Hutt College. Area where incident occurred has been cordoned off. cluttered storage room blocking access. Interviewed the H&S rep who confirmed awareness of the hazard. Root cause appears to be lack of maintenance. Immediate controls: area barricaded. Further investigation: yes - await contractor quote.,MAJOR_NON_COMPLIANCE,2,2,COMPLETED
2359,250,769,,2024-02-09,POST_INCIDENT,Post-incident inspection at Upper Hutt College. Area where incident occurred has been cleaned up. damaged fencing along south boundary. Interviewed the caretaker who confirmed the timeline of events. Root cause appears to be worn equipment. Immediate controls: temporary repair applied. Further investigation: yes - await contractor quote.,MINOR_NON_COMPLIANCE,0,0,COMPLETED
2360,250,768,,2024-04-01,POST_INCIDENT,Arrived at Upper Hutt College at 11:30. Met with the principal who reported a recent near-miss in the workshop. Walked the site starting from the playground. Observed worn anti-slip tape on steps. Noted blocked emergency exit in hall. the library appears showing signs of wear. Recommend immediate action on high-risk items. Photos taken for record.,COMPLIANT,3,2,COMPLETED
2361,250,771,82.0,2025-09-01,CONTRACTOR_AUDIT,Complaint response visit to Upper Hutt College regarding strange smell in classroom. On inspection found mould visible on ceiling tiles. cluttered storage room blocking access. Spoke with the principal who was aware of the issue. Actions: temporary fix applied. Follow-up required: yes - in 14 days.,MAJOR_NON_COMPLIANCE,3,0,COMPLETED
2362,251,773,,2020-07-24,POST_INCIDENT,Arrived at Heretaunga College at 12:30. Met with the caretaker who reported no issues since last visit. Walked the site starting from Block A. Observed damaged fencing along south boundary. Noted cluttered storage room blocking access. the library appears in good condition. Recommend engaging specialist contractor. Photos taken for record.,MAJOR_NON_COMPLIANCE,2,0,COMPLETED
2363,251,775,82.0,2021-08-11,CONTRACTOR_AUDIT,Arrived at Heretaunga College at 11:30. Met with the H&S rep who reported a concern about the car park. Walked the site starting from the main entrance. Observed missing fire extinguisher sign. Noted damaged fencing along south boundary. the hall appears showing signs of wear. Recommend review at next assessment. Photos taken for record.,COMPLIANT,0,0,COMPLETED
2364,251,773,,2022-05-09,COMPLAINT_RESPONSE,Routine site walkthrough at Heretaunga College. Checked emergency exits - all clear. Fire extinguishers - all in date. First aid kits - needs restocking. Signage - faded in places. General housekeeping - good. 3 new hazards logged.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
2365,251,774,,2022-07-20,POST_INCIDENT,Post-incident inspection at Heretaunga College. Area where incident occurred has been cleaned up. worn anti-slip tape on steps. Interviewed the caretaker who confirmed the timeline of events. Root cause appears to be environmental conditions. Immediate controls: temporary repair applied. Further investigation: yes - engineering assessment required.,COMPLIANT,1,0,COMPLETED
2366,251,775,,2023-05-15,COMPLAINT_RESPONSE,Arrived at Heretaunga College at 14:00. Met with the principal who reported no issues since last visit. Walked the site starting from the main entrance. Observed cluttered storage room blocking access. Noted loose railing on Block A stairwell. Block A appears in need of maintenance. Recommend scheduling maintenance within 30 days. Photos taken for record.,MINOR_NON_COMPLIANCE,2,2,COMPLETED
2367,251,772,,2023-02-18,ROUTINE,Post-incident inspection at Heretaunga College. Area where incident occurred has been cordoned off. standing water near entrance pathway. Interviewed the principal who confirmed that protocols were followed. Root cause appears to be lack of maintenance. Immediate controls: warning signs placed. Further investigation: yes - WorkSafe notification pending.,MAJOR_NON_COMPLIANCE,2,0,COMPLETED
2368,251,774,,2023-08-08,ROUTINE,Routine site walkthrough at Heretaunga College. Checked emergency exits - signage missing on one. Fire extinguishers - all in date. First aid kits - needs restocking. Signage - adequate. General housekeeping - excellent. 1 new hazards logged.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
2369,251,774,,2024-11-08,ROUTINE,Complaint response visit to Heretaunga College regarding overgrown trees blocking light. On inspection found standing water near entrance pathway. bird nesting in roof cavity. Spoke with the H&S rep who was aware of the issue. Actions: repair ordered. Follow-up required: no.,COMPLIANT,1,1,COMPLETED
2370,251,772,,2024-03-15,ROUTINE,Complaint response visit to Heretaunga College regarding slippery pathway. On inspection found uneven surface on playground. standing water near entrance pathway. Spoke with the H&S rep who was concerned about the situation. Actions: repair ordered. Follow-up required: yes - in 14 days.,COMPLIANT,0,0,COMPLETED
2371,252,778,78.0,2020-02-19,CONTRACTOR_AUDIT,Routine site walkthrough at St Patrick's College (Silverstream). Checked emergency exits - one partially blocked. Fire extinguishers - one missing from hall. First aid kits - fully stocked. Signage - faded in places. General housekeeping - poor in storage areas. 4 new hazards logged.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
2372,252,779,78.0,2021-06-15,CONTRACTOR_AUDIT,Routine site walkthrough at St Patrick's College (Silverstream). Checked emergency exits - all clear. Fire extinguishers - all current. First aid kits - fully stocked. Signage - faded in places. General housekeeping - satisfactory. 3 new hazards logged.,MAJOR_NON_COMPLIANCE,0,0,COMPLETED
2373,252,778,78.0,2022-06-24,CONTRACTOR_AUDIT,Post-incident inspection at St Patrick's College (Silverstream). Area where incident occurred has been unchanged. bird nesting in roof cavity. Interviewed the caretaker who confirmed that the issue has been ongoing. Root cause appears to be lack of maintenance. Immediate controls: area barricaded. Further investigation: no - matter resolved.,MINOR_NON_COMPLIANCE,2,0,COMPLETED
2374,252,778,,2023-05-25,POST_INCIDENT,Contractor audit: the contractor on site performing HVAC servicing. Checked: PPE compliance - partial - no safety glasses observed; site induction records - all current; work method statements - generic - not site-specific. Overall: minor non-compliance. Issues noted: none noted.,CRITICAL,1,0,COMPLETED
2375,252,779,,2023-04-04,POST_INCIDENT,Routine site walkthrough at St Patrick's College (Silverstream). Checked emergency exits - all clear. Fire extinguishers - one missing from hall. First aid kits - needs restocking. Signage - several missing. General housekeeping - satisfactory. 4 new hazards logged.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
2376,252,776,,2024-10-21,ROUTINE,Complaint response visit to St Patrick's College (Silverstream) regarding slippery pathway. On inspection found cluttered storage room blocking access. tree branch overhanging walkway. Spoke with the H&S rep who was unaware until now. Actions: contractor engaged. Follow-up required: no.,MAJOR_NON_COMPLIANCE,1,0,COMPLETED
2377,253,782,,2020-07-06,COMPLAINT_RESPONSE,Routine site walkthrough at Aotea College. Checked emergency exits - clear. Fire extinguishers - all in date. First aid kits - fully stocked. Signage - several missing. General housekeeping - satisfactory. 3 new hazards logged.,MAJOR_NON_COMPLIANCE,2,0,COMPLETED
2378,253,781,78.0,2021-07-23,CONTRACTOR_AUDIT,Arrived at Aotea College at 10:45. Met with the caretaker who reported no issues since last visit. Walked the site starting from the playground. Observed uneven surface on playground. Noted cluttered storage room blocking access. the hall appears in need of maintenance. Recommend immediate action on high-risk items. Photos taken for record.,MINOR_NON_COMPLIANCE,2,2,COMPLETED
2379,253,780,,2022-11-11,POST_INCIDENT,Post-incident inspection at Aotea College. Area where incident occurred has been cordoned off. missing fire extinguisher sign. Interviewed the site manager who confirmed that protocols were followed. Root cause appears to be environmental conditions. Immediate controls: area barricaded. Further investigation: yes - WorkSafe notification pending.,COMPLIANT,3,1,COMPLETED
2380,253,781,,2022-09-18,POST_INCIDENT,Complaint response visit to Aotea College regarding broken playground equipment. On inspection found bird nesting in roof cavity. missing fire extinguisher sign. Spoke with the site manager who was unaware until now. Actions: repair ordered. Follow-up required: yes - next routine visit.,COMPLIANT,3,3,COMPLETED
2381,253,781,,2023-05-11,COMPLAINT_RESPONSE,Contractor audit: the contractor on site performing electrical maintenance. Checked: PPE compliance - fully compliant; site induction records - missing for one worker; work method statements - provided and adequate. Overall: compliant. Issues noted: none noted.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
2382,253,781,,2024-04-24,ROUTINE,Post-incident inspection at Aotea College. Area where incident occurred has been cordoned off. standing water near entrance pathway. Interviewed the caretaker who confirmed that protocols were followed. Root cause appears to be worn equipment. Immediate controls: area barricaded. Further investigation: yes - engineering assessment required.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
2383,253,781,117.0,2024-09-13,CONTRACTOR_AUDIT,Routine site walkthrough at Aotea College. Checked emergency exits - clear. Fire extinguishers - two expired. First aid kits - needs restocking. Signage - several missing. General housekeeping - excellent. 3 new hazards logged.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
2384,253,782,,2025-02-25,COMPLAINT_RESPONSE,Complaint response visit to Aotea College regarding strange smell in classroom. On inspection found worn anti-slip tape on steps. cluttered storage room blocking access. Spoke with the site manager who was unaware until now. Actions: area isolated. Follow-up required: no.,COMPLIANT,1,0,COMPLETED
2385,254,783,,2020-06-20,ROUTINE,Complaint response visit to Mana College regarding broken playground equipment. On inspection found uneven surface on playground. cracked window pane in classroom. Spoke with the site manager who was aware of the issue. Actions: contractor engaged. Follow-up required: yes - after repair completed.,MAJOR_NON_COMPLIANCE,3,3,COMPLETED
2386,254,786,,2021-03-04,POST_INCIDENT,Complaint response visit to Mana College regarding slippery pathway. On inspection found bird nesting in roof cavity. uneven surface on playground. Spoke with the principal who was aware of the issue. Actions: contractor engaged. Follow-up required: no.,CRITICAL,1,0,COMPLETED
2387,254,784,,2022-02-19,ROUTINE,Contractor audit: the contractor on site performing electrical maintenance. Checked: PPE compliance - non-compliant - worker on ladder without harness; site induction records - current; work method statements - comprehensive. Overall: major non-compliance. Issues noted: none noted.,MINOR_NON_COMPLIANCE,2,2,COMPLETED
2388,254,783,,2023-10-25,ROUTINE,Routine site walkthrough at Mana College. Checked emergency exits - clear. Fire extinguishers - all current. First aid kits - needs restocking. Signage - good. General housekeeping - satisfactory. 3 new hazards logged.,MAJOR_NON_COMPLIANCE,2,0,COMPLETED
2389,254,783,,2024-02-14,COMPLAINT_RESPONSE,Contractor audit: the contractor on site performing HVAC servicing. Checked: PPE compliance - non-compliant - worker on ladder without harness; site induction records - missing for one worker; work method statements - not available. Overall: compliant. Issues noted: SWMS not signed.,MAJOR_NON_COMPLIANCE,3,3,COMPLETED
2390,254,783,,2025-11-17,COMPLAINT_RESPONSE,Arrived at Mana College at 10:15. Met with the caretaker who reported a recent near-miss in the workshop. Walked the site starting from the main entrance. Observed trip hazard from raised concrete. Noted missing fire extinguisher sign. the library appears showing signs of wear. Recommend engaging specialist contractor. Photos taken for record.,MAJOR_NON_COMPLIANCE,3,3,COMPLETED
2391,255,788,,2020-02-18,ROUTINE,Complaint response visit to Porirua College regarding overgrown trees blocking light. On inspection found missing fire extinguisher sign. loose railing on Block A stairwell. Spoke with the caretaker who was unaware until now. Actions: temporary fix applied. Follow-up required: yes - after repair completed.,MINOR_NON_COMPLIANCE,3,3,COMPLETED
2392,255,789,82.0,2020-04-24,CONTRACTOR_AUDIT,Post-incident inspection at Porirua College. Area where incident occurred has been unchanged. tree branch overhanging walkway. Interviewed the H&S rep who confirmed awareness of the hazard. Root cause appears to be environmental conditions. Immediate controls: warning signs placed. Further investigation: no - matter resolved.,MAJOR_NON_COMPLIANCE,0,0,COMPLETED
2393,255,789,,2021-03-24,POST_INCIDENT,Routine site walkthrough at Porirua College. Checked emergency exits - all clear. Fire extinguishers - all in date. First aid kits - fully stocked. Signage - several missing. General housekeeping - satisfactory. 4 new hazards logged.,MAJOR_NON_COMPLIANCE,0,0,COMPLETED
2394,255,790,,2022-11-02,POST_INCIDENT,Post-incident inspection at Porirua College. Area where incident occurred has been unchanged. cluttered storage room blocking access. Interviewed the principal who confirmed that protocols were followed. Root cause appears to be environmental conditions. Immediate controls: area barricaded. Further investigation: yes - engineering assessment required.,MINOR_NON_COMPLIANCE,3,1,COMPLETED
2395,255,787,,2022-08-07,POST_INCIDENT,Arrived at Porirua College at 13:00. Met with the caretaker who reported no issues since last visit. Walked the site starting from the main entrance. Observed missing fire extinguisher sign. Noted blocked emergency exit in hall. the gymnasium appears satisfactory. Recommend review at next assessment. Photos taken for record.,COMPLIANT,2,2,COMPLETED
2396,255,787,78.0,2022-02-15,CONTRACTOR_AUDIT,Routine site walkthrough at Porirua College. Checked emergency exits - signage missing on one. Fire extinguishers - all in date. First aid kits - fully stocked. Signage - good. General housekeeping - satisfactory. 4 new hazards logged.,MINOR_NON_COMPLIANCE,2,1,COMPLETED
2397,255,790,,2023-07-01,ROUTINE,Routine site walkthrough at Porirua College. Checked emergency exits - one partially blocked. Fire extinguishers - one missing from hall. First aid kits - low on supplies. Signage - adequate. General housekeeping - satisfactory. 3 new hazards logged.,MAJOR_NON_COMPLIANCE,0,0,COMPLETED
2398,255,790,,2024-10-04,ROUTINE,Routine site walkthrough at Porirua College. Checked emergency exits - one partially blocked. Fire extinguishers - two expired. First aid kits - low on supplies. Signage - faded in places. General housekeeping - good. 2 new hazards logged.,MINOR_NON_COMPLIANCE,3,1,COMPLETED
2399,255,790,,2024-05-26,ROUTINE,Post-incident inspection at Porirua College. Area where incident occurred has been unchanged. missing fire extinguisher sign. Interviewed the principal who confirmed that the issue has been ongoing. Root cause appears to be inadequate training. Immediate controls: warning signs placed. Further investigation: no - matter resolved.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
2400,255,790,,2025-05-12,POST_INCIDENT,Post-incident inspection at Porirua College. Area where incident occurred has been under repair. uneven surface on playground. Interviewed the caretaker who confirmed that the issue has been ongoing. Root cause appears to be lack of maintenance. Immediate controls: area barricaded. Further investigation: yes - WorkSafe notification pending.,MINOR_NON_COMPLIANCE,2,0,COMPLETED
2401,256,793,,2020-08-21,ROUTINE,Complaint response visit to Bishop Viard College regarding noise from construction work. On inspection found standing water near entrance pathway. blocked emergency exit in hall. Spoke with the principal who was aware of the issue. Actions: area isolated. Follow-up required: yes - in 14 days.,COMPLIANT,3,1,COMPLETED
2402,256,791,,2021-05-13,POST_INCIDENT,Complaint response visit to Bishop Viard College regarding unsafe traffic conditions at drop-off. On inspection found tree branch overhanging walkway. standing water near entrance pathway. Spoke with the site manager who was already arranging repair. Actions: repair ordered. Follow-up required: yes - next routine visit.,MAJOR_NON_COMPLIANCE,2,0,COMPLETED
2403,256,792,,2021-08-24,ROUTINE,Arrived at Bishop Viard College at 15:45. Met with the caretaker who reported ongoing roof leak in Block B. Walked the site starting from the main entrance. Observed tree branch overhanging walkway. Noted inadequate lighting in car park. the gymnasium appears in good condition. Recommend engaging specialist contractor. Photos taken for record.,MAJOR_NON_COMPLIANCE,2,1,COMPLETED
2404,256,793,,2021-02-05,ROUTINE,Routine site walkthrough at Bishop Viard College. Checked emergency exits - all clear. Fire extinguishers - all current. First aid kits - adequate. Signage - adequate. General housekeeping - good. 1 new hazards logged.,MAJOR_NON_COMPLIANCE,0,0,COMPLETED
2405,256,791,,2022-03-26,ROUTINE,Contractor audit: the contractor on site performing plumbing work. Checked: PPE compliance - non-compliant - worker on ladder without harness; site induction records - all current; work method statements - provided and adequate. Overall: major non-compliance. Issues noted: PPE not consistently worn.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
2406,256,791,,2023-04-19,COMPLAINT_RESPONSE,Complaint response visit to Bishop Viard College regarding overgrown trees blocking light. On inspection found uneven surface on playground. bird nesting in roof cavity. Spoke with the site manager who was concerned about the situation. Actions: repair ordered. Follow-up required: yes - after repair completed.,COMPLIANT,3,1,COMPLETED
2407,256,791,,2023-03-06,POST_INCIDENT,Post-incident inspection at Bishop Viard College. Area where incident occurred has been unchanged. worn anti-slip tape on steps. Interviewed the site manager who confirmed that protocols were followed. Root cause appears to be environmental conditions. Immediate controls: warning signs placed. Further investigation: yes - await contractor quote.,MAJOR_NON_COMPLIANCE,2,1,COMPLETED
2408,256,792,,2024-11-12,POST_INCIDENT,Post-incident inspection at Bishop Viard College. Area where incident occurred has been unchanged. bird nesting in roof cavity. Interviewed the H&S rep who confirmed that the issue has been ongoing. Root cause appears to be lack of maintenance. Immediate controls: warning signs placed. Further investigation: yes - engineering assessment required.,MINOR_NON_COMPLIANCE,2,1,COMPLETED
2409,256,791,52.0,2024-06-08,CONTRACTOR_AUDIT,Routine site walkthrough at Bishop Viard College. Checked emergency exits - signage missing on one. Fire extinguishers - two expired. First aid kits - low on supplies. Signage - adequate. General housekeeping - good. 1 new hazards logged.,COMPLIANT,1,1,COMPLETED
2410,256,792,,2024-09-12,ROUTINE,Routine site walkthrough at Bishop Viard College. Checked emergency exits - all clear. Fire extinguishers - two expired. First aid kits - adequate. Signage - faded in places. General housekeeping - poor in storage areas. 2 new hazards logged.,COMPLIANT,0,0,COMPLETED
2411,256,792,,2025-07-17,POST_INCIDENT,Arrived at Bishop Viard College at 11:45. Met with the caretaker who reported ongoing roof leak in Block B. Walked the site starting from the main entrance. Observed cracked window pane in classroom. Noted worn anti-slip tape on steps. the gymnasium appears in need of maintenance. Recommend scheduling maintenance within 30 days. Photos taken for record.,COMPLIANT,1,1,COMPLETED
2412,257,796,,2020-02-18,ROUTINE,Contractor audit: the contractor on site performing roof repairs. Checked: PPE compliance - non-compliant - worker on ladder without harness; site induction records - expired - updated on site; work method statements - not available. Overall: major non-compliance. Issues noted: no issues.,COMPLIANT,0,0,COMPLETED
2413,257,795,82.0,2020-11-17,CONTRACTOR_AUDIT,Post-incident inspection at Tawa College. Area where incident occurred has been cordoned off. uneven surface on playground. Interviewed the site manager who confirmed awareness of the hazard. Root cause appears to be worn equipment. Immediate controls: warning signs placed. Further investigation: no - matter resolved.,COMPLIANT,1,0,COMPLETED
2414,257,797,82.0,2020-07-10,CONTRACTOR_AUDIT,Arrived at Tawa College at 15:00. Met with the principal who reported a recent near-miss in the workshop. Walked the site starting from the car park. Observed worn anti-slip tape on steps. Noted damaged fencing along south boundary. the gymnasium appears satisfactory. Recommend immediate action on high-risk items. Photos taken for record.,COMPLIANT,3,0,COMPLETED
2415,257,797,123.0,2021-11-02,CONTRACTOR_AUDIT,Arrived at Tawa College at 15:15. Met with the site manager who reported a concern about the car park. Walked the site starting from the playground. Observed mould visible on ceiling tiles. Noted missing fire extinguisher sign. the gymnasium appears in good condition. Recommend review at next assessment. Photos taken for record.,COMPLIANT,1,0,COMPLETED
2416,257,794,,2021-04-14,ROUTINE,Post-incident inspection at Tawa College. Area where incident occurred has been under repair. inadequate lighting in car park. Interviewed the caretaker who confirmed that protocols were followed. Root cause appears to be worn equipment. Immediate controls: warning signs placed. Further investigation: no - matter resolved.,COMPLIANT,2,0,COMPLETED
2417,257,797,,2021-11-21,COMPLAINT_RESPONSE,Arrived at Tawa College at 13:30. Met with the principal who reported a concern about the car park. Walked the site starting from the main entrance. Observed peeling paint near food prep area. Noted loose railing on Block A stairwell. Block A appears in good condition. Recommend immediate action on high-risk items. Photos taken for record.,COMPLIANT,1,1,COMPLETED
2418,257,797,,2022-07-26,POST_INCIDENT,Contractor audit: the contractor on site performing HVAC servicing. Checked: PPE compliance - compliant with minor exceptions; site induction records - missing for one worker; work method statements - provided and adequate. Overall: major non-compliance. Issues noted: no issues.,COMPLIANT,3,1,COMPLETED
2419,257,797,,2023-02-10,ROUTINE,Arrived at Tawa College at 13:45. Met with the principal who reported a recent near-miss in the workshop. Walked the site starting from Block A. Observed inadequate lighting in car park. Noted uneven surface on playground. the gymnasium appears satisfactory. Recommend review at next assessment. Photos taken for record.,COMPLIANT,3,3,COMPLETED
2420,257,796,,2024-08-03,POST_INCIDENT,Routine site walkthrough at Tawa College. Checked emergency exits - clear. Fire extinguishers - one missing from hall. First aid kits - needs restocking. Signage - adequate. General housekeeping - satisfactory. 1 new hazards logged.,MINOR_NON_COMPLIANCE,3,1,COMPLETED
2421,257,795,,2024-04-09,ROUTINE,Arrived at Tawa College at 14:30. Met with the H&S rep who reported a concern about the car park. Walked the site starting from the playground. Observed cluttered storage room blocking access. Noted peeling paint near food prep area. the gymnasium appears in need of maintenance. Recommend immediate action on high-risk items. Photos taken for record.,MINOR_NON_COMPLIANCE,3,1,COMPLETED
2422,257,794,,2024-07-05,POST_INCIDENT,Post-incident inspection at Tawa College. Area where incident occurred has been cordoned off. mould visible on ceiling tiles. Interviewed the principal who confirmed that the issue has been ongoing. Root cause appears to be inadequate training. Immediate controls: temporary repair applied. Further investigation: yes - WorkSafe notification pending.,CRITICAL,2,0,COMPLETED
2423,257,797,,2025-08-26,POST_INCIDENT,Complaint response visit to Tawa College regarding slippery pathway. On inspection found worn anti-slip tape on steps. mould visible on ceiling tiles. Spoke with the H&S rep who was concerned about the situation. Actions: contractor engaged. Follow-up required: yes - next routine visit.,COMPLIANT,3,2,COMPLETED
2424,258,799,,2020-05-11,COMPLAINT_RESPONSE,Arrived at Taita College at 15:45. Met with the principal who reported a recent near-miss in the workshop. Walked the site starting from the main entrance. Observed uneven surface on playground. Noted trip hazard from raised concrete. the hall appears in need of maintenance. Recommend engaging specialist contractor. Photos taken for record.,COMPLIANT,2,1,COMPLETED
2425,258,800,,2020-05-23,POST_INCIDENT,Contractor audit: the contractor on site performing roof repairs. Checked: PPE compliance - non-compliant - worker on ladder without harness; site induction records - missing for one worker; work method statements - comprehensive. Overall: major non-compliance. Issues noted: PPE not consistently worn.,MAJOR_NON_COMPLIANCE,1,1,COMPLETED
2426,258,798,,2021-03-03,ROUTINE,Routine site walkthrough at Taita College. Checked emergency exits - clear. Fire extinguishers - all current. First aid kits - low on supplies. Signage - adequate. General housekeeping - excellent. 4 new hazards logged.,MINOR_NON_COMPLIANCE,3,1,COMPLETED
2427,258,800,,2021-02-02,ROUTINE,Post-incident inspection at Taita College. Area where incident occurred has been cleaned up. peeling paint near food prep area. Interviewed the caretaker who confirmed that protocols were followed. Root cause appears to be inadequate training. Immediate controls: equipment isolated. Further investigation: yes - WorkSafe notification pending.,COMPLIANT,3,3,COMPLETED
2428,258,798,,2021-11-07,POST_INCIDENT,Contractor audit: the contractor on site performing HVAC servicing. Checked: PPE compliance - partial - no safety glasses observed; site induction records - expired - updated on site; work method statements - comprehensive. Overall: compliant. Issues noted: PPE not consistently worn.,COMPLIANT,3,2,COMPLETED
2429,258,800,72.0,2022-05-11,CONTRACTOR_AUDIT,Post-incident inspection at Taita College. Area where incident occurred has been cordoned off. damaged fencing along south boundary. Interviewed the site manager who confirmed awareness of the hazard. Root cause appears to be worn equipment. Immediate controls: area barricaded. Further investigation: yes - WorkSafe notification pending.,MINOR_NON_COMPLIANCE,0,0,COMPLETED
2430,258,800,,2022-09-22,ROUTINE,Complaint response visit to Taita College regarding slippery pathway. On inspection found blocked emergency exit in hall. damaged fencing along south boundary. Spoke with the H&S rep who was concerned about the situation. Actions: temporary fix applied. Follow-up required: no.,COMPLIANT,3,1,COMPLETED
2431,258,799,,2023-07-08,POST_INCIDENT,Routine site walkthrough at Taita College. Checked emergency exits - one partially blocked. Fire extinguishers - one missing from hall. First aid kits - low on supplies. Signage - adequate. General housekeeping - satisfactory. 3 new hazards logged.,MINOR_NON_COMPLIANCE,2,1,COMPLETED
2432,258,799,,2024-09-27,POST_INCIDENT,Post-incident inspection at Taita College. Area where incident occurred has been cordoned off. worn anti-slip tape on steps. Interviewed the site manager who confirmed the timeline of events. Root cause appears to be lack of maintenance. Immediate controls: temporary repair applied. Further investigation: yes - await contractor quote.,COMPLIANT,3,2,COMPLETED
2433,258,800,,2024-06-03,POST_INCIDENT,Contractor audit: the contractor on site performing HVAC servicing. Checked: PPE compliance - fully compliant; site induction records - all current; work method statements - comprehensive. Overall: major non-compliance. Issues noted: work area not adequately fenced.,MINOR_NON_COMPLIANCE,2,0,COMPLETED
2434,258,798,,2025-08-09,ROUTINE,Contractor audit: the contractor on site performing HVAC servicing. Checked: PPE compliance - partial - no safety glasses observed; site induction records - current; work method statements - not available. Overall: compliant. Issues noted: none noted.,COMPLIANT,2,0,COMPLETED
2435,259,803,137.0,2020-07-22,CONTRACTOR_AUDIT,Post-incident inspection at Naenae College. Area where incident occurred has been cordoned off. standing water near entrance pathway. Interviewed the principal who confirmed that the issue has been ongoing. Root cause appears to be environmental conditions. Immediate controls: warning signs placed. Further investigation: yes - await contractor quote.,COMPLIANT,1,1,COMPLETED
2436,259,801,,2020-06-17,COMPLAINT_RESPONSE,Routine site walkthrough at Naenae College. Checked emergency exits - all clear. Fire extinguishers - all in date. First aid kits - low on supplies. Signage - adequate. General housekeeping - good. 4 new hazards logged.,COMPLIANT,2,0,COMPLETED
2437,259,801,,2020-07-11,ROUTINE,Complaint response visit to Naenae College regarding strange smell in classroom. On inspection found blocked emergency exit in hall. missing fire extinguisher sign. Spoke with the caretaker who was unaware until now. Actions: contractor engaged. Follow-up required: no.,COMPLIANT,3,2,COMPLETED
2438,259,802,,2021-07-12,ROUTINE,Post-incident inspection at Naenae College. Area where incident occurred has been cordoned off. standing water near entrance pathway. Interviewed the site manager who confirmed that the issue has been ongoing. Root cause appears to be inadequate training. Immediate controls: warning signs placed. Further investigation: no - matter resolved.,COMPLIANT,0,0,COMPLETED
2439,259,801,52.0,2022-08-05,CONTRACTOR_AUDIT,Contractor audit: Pacific It Services Ltd on site performing grounds maintenance. Checked: PPE compliance - compliant with minor exceptions; site induction records - missing for one worker; work method statements - generic - not site-specific. Overall: minor non-compliance. Issues noted: work area not adequately fenced.,MINOR_NON_COMPLIANCE,0,0,COMPLETED
2440,259,801,,2022-11-04,COMPLAINT_RESPONSE,Routine site walkthrough at Naenae College. Checked emergency exits - signage missing on one. Fire extinguishers - one missing from hall. First aid kits - fully stocked. Signage - adequate. General housekeeping - poor in storage areas. 4 new hazards logged.,COMPLIANT,2,2,COMPLETED
2441,259,801,,2023-03-13,ROUTINE,Routine site walkthrough at Naenae College. Checked emergency exits - clear. Fire extinguishers - one missing from hall. First aid kits - low on supplies. Signage - faded in places. General housekeeping - excellent. 3 new hazards logged.,COMPLIANT,0,0,COMPLETED
2442,259,801,137.0,2023-11-09,CONTRACTOR_AUDIT,Routine site walkthrough at Naenae College. Checked emergency exits - clear. Fire extinguishers - all current. First aid kits - adequate. Signage - faded in places. General housekeeping - satisfactory. 4 new hazards logged.,COMPLIANT,3,3,COMPLETED
2443,259,801,,2023-10-10,POST_INCIDENT,Post-incident inspection at Naenae College. Area where incident occurred has been cleaned up. trip hazard from raised concrete. Interviewed the site manager who confirmed that the issue has been ongoing. Root cause appears to be environmental conditions. Immediate controls: warning signs placed. Further investigation: yes - engineering assessment required.,COMPLIANT,0,0,COMPLETED
2444,259,801,,2024-03-16,COMPLAINT_RESPONSE,Arrived at Naenae College at 12:30. Met with the principal who reported no issues since last visit. Walked the site starting from Block A. Observed blocked emergency exit in hall. Noted peeling paint near food prep area. the gymnasium appears in good condition. Recommend review at next assessment. Photos taken for record.,COMPLIANT,2,1,COMPLETED
2445,259,801,,2024-02-20,POST_INCIDENT,Post-incident inspection at Naenae College. Area where incident occurred has been under repair. missing fire extinguisher sign. Interviewed the caretaker who confirmed that the issue has been ongoing. Root cause appears to be inadequate training. Immediate controls: warning signs placed. Further investigation: yes - await contractor quote.,COMPLIANT,1,0,COMPLETED
